Mine \ Plant,P1 (Vindhyachal),P2 (Singrauli STPS),P3 (Rihand),P4 (Obra),P5 (Anpara),P6 (Renusagar),P7 (Essar Mahan)
M1 (Jayant),216.0,216.0,216.0,216.0,216.0,216.0,216.0
M2 (Dudhichua),216.0,216.0,216.0,216.0,216.0,216.0,216.0
M3 (Nigahi),216.0,216.0,216.0,216.0,216.0,216.0,216.0
M4 (Krishnashila),216.0,216.0,216.0,216.0,216.0,216.0,216.0
M5 (Bina),216.0,216.0,216.0,216.0,216.0,216.0,216.0
M6 (Kakri),216.0,216.0,216.0,216.0,216.0,216.0,216.0
M7 (Khadia),216.0,216.0,216.0,216.0,216.0,216.0,216.0
M8 (Amlohri),216.0,216.0,216.0,216.0,216.0,216.0,216.0
M9 (Block-B),216.0,216.0,216.0,216.0,216.0,216.0,216.0
M10 (Jhingurda),216.0,216.0,216.0,216.0,216.0,216.0,216.0
