Mine Name,Vindhyachal Super Thermal,Singrauli Super Thermal,Rihand Super Thermal,Obra Thermal Power Project,Anpara Thermal Power Station,Renusagar Thermal Power Station,Essar Mahan Thermal Power Project,Total Shipped (tonnes)
Jayant,0.0,0.0,656370.0,638867.0,842342.0,0.0,131274.0,2268853.0
Dudhichua,0.0,437580.0,0.0,0.0,0.0,0.0,0.0,437580.0
Nigahi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Krishnashila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bina,624773.0,0.0,0.0,0.0,0.0,0.0,0.0,624773.0
Kakri,0.0,0.0,0.0,0.0,0.0,158623.0,0.0,158623.0
Khadia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amlohri,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Block-B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jhingurda,416667.0,0.0,0.0,0.0,0.0,0.0,0.0,416667.0
