Mine Name,Vindhyachal Super Thermal,Singrauli Super Thermal,Rihand Super Thermal,Obra Thermal Power Project,Anpara Thermal Power Station,Renusagar Thermal Power Station,Essar Mahan Thermal Power Project,Total Shipped (tonnes)
Jayant,0.0,0.0,35217.0,0.0,0.0,0.0,0.0,35217.0
Dudhichua,0.0,0.0,0.0,982872.0,0.0,0.0,0.0,982872.0
Nigahi,435550.0,673200.0,974583.0,0.0,0.0,0.0,0.0,2083333.0
Krishnashila,583333.0,0.0,0.0,0.0,0.0,0.0,0.0,583333.0
Bina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kakri,0.0,0.0,0.0,0.0,379243.0,244035.0,0.0,623278.0
Khadia,0.0,0.0,0.0,0.0,916667.0,0.0,0.0,916667.0
Amlohri,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Block-B,583333.0,0.0,0.0,0.0,0.0,0.0,0.0,583333.0
Jhingurda,0.0,0.0,0.0,0.0,0.0,0.0,201960.0,201960.0
