Mine Name,Vindhyachal Super Thermal,Singrauli Super Thermal,Rihand Super Thermal,Obra Thermal Power Project,Anpara Thermal Power Station,Renusagar Thermal Power Station,Essar Mahan Thermal Power Project,Total Shipped (tonnes)
Jayant,3910.0,1362.0,709089.0,689555.0,913908.0,2911.0,129528.0,2450263.0
Dudhichua,3910.0,504129.0,2470.0,2222.0,1700.0,2911.0,1501.0,518843.0
Nigahi,3910.0,1362.0,2470.0,2222.0,1700.0,2911.0,1501.0,16076.0
Krishnashila,3910.0,1362.0,2470.0,2222.0,1700.0,2911.0,1501.0,16076.0
Bina,750531.0,1362.0,2470.0,2222.0,1700.0,2911.0,1501.0,762697.0
Kakri,3910.0,1362.0,2470.0,2222.0,1700.0,167606.0,1501.0,180771.0
Khadia,3910.0,1362.0,2470.0,2222.0,1700.0,2911.0,1501.0,16076.0
Amlohri,3910.0,1362.0,2470.0,2222.0,1700.0,2911.0,1501.0,16076.0
Block-B,3910.0,1362.0,2470.0,2222.0,1700.0,2911.0,1501.0,16076.0
Jhingurda,398246.0,29.0,18.0,2.0,1174.0,442.0,2069.0,401980.0
