Mine Name,Vindhyachal Super Thermal,Singrauli Super Thermal,Rihand Super Thermal,Obra Thermal Power Project,Anpara Thermal Power Station,Renusagar Thermal Power Station,Essar Mahan Thermal Power Project,Total Shipped (tonnes)
Jayant,0.0,0.0,689058.0,717497.0,946014.0,0.0,147431.0,2500000.0
Dudhichua,0.0,491436.0,0.0,0.0,0.0,0.0,0.0,491436.0
Nigahi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Krishnashila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bina,752951.0,0.0,0.0,0.0,0.0,0.0,0.0,752951.0
Kakri,0.0,0.0,0.0,0.0,0.0,178146.0,0.0,178146.0
Khadia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amlohri,0.0,0.0,48096.0,0.0,0.0,0.0,0.0,48096.0
Block-B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jhingurda,416667.0,0.0,0.0,0.0,0.0,0.0,0.0,416667.0
